English,Dutch,No. participants,Mode of rep,Semantical category,pp01,pp02,pp03,pp04,pp05,pp06,pp07,pp08,pp09,pp10,pp11,pp12,pp13,pp14,pp15,pp16,pp17,pp18,MEAN,x,y
TO-WALK,LOPEN,12,representing,Action without object,5,4,5,6,7,5,5,3,5,7,5,7,6,1,6,7,5,5,5.22,-0.005363382443662716,0.02365774704294837
DRILL,BOOR,10,acting,Manipulable object,4,2,2,6,6,5,5,2,5,5,5,4,6,4,1,5,4,4,4.17,0.022138536786869178,0.018713657867387597
BOX,DOOS,15,drawing,Manipulable object,4,2,1,4,4,4,6,2,6,2,5,5,6,5,3,4,3,4,3.89,-0.028762824684955494,0.027636835405825722
TO-KNEAD,KNEDEN,14,acting,Action with object,6,4,5,7,7,5,7,6,5,6,5,6,7,6,4,4,5,4,5.5,-0.02190855705276294,-0.02648637571967616
BUILDING,GEBOUW,18,drawing,Non-manipulable object,5,4,3,4,2,6,2,1,5,4,5,6,6,5,1,3,1,1,3.56,0.04481849187337451,0.007318803006110915
TO-SHAVE,SCHEREN,15,acting,Action with object,3,6,6,5,7,6,7,3,6,4,6,7,7,5,5,6,6,5,5.56,-0.04861233065672337,0.029254405766041165
CELL,GEVANGENIS,17,acting,Non-manipulable object,4,3,4,6,4,4,4,2,4,5,4,4,5,4,1,5,3,1,3.72,0.020086631331134783,-0.013827840795713585
PYRAMID,PIRAMIDE,19,drawing,Non-manipulable object,6,5,3,3,5,4,5,5,4,5,4,3,5,3,1,6,2,6,4.17,-0.008959814413290183,0.013158058776636505
PLANE,VLIEGTUIG,13,personification,Non-manipulable object,7,1,4,7,6,5,6,6,6,4,5,3,6,6,3,5,4,5,4.94,0.04272185601362913,-0.007911661091710558
TO-POWDER,POEDEREN,17,acting,Action with object,3,5,5,2,7,4,1,3,5,4,5,6,6,3,3,6,2,5,4.17,0.05128735268688226,-0.01629424232455297
TO-PULL,TREKKEN,19,acting,Action with object,3,6,6,4,6,5,6,6,7,6,4,7,7,5,2,6,4,5,5.28,-0.03737624363352161,-0.025362758717603774
DEER,HERT,11,personification,Animate ,3,6,5,2,5,7,6,5,4,7,4,2,7,4,1,3,1,2,4.11,-0.03558345168915885,-0.009244392343162388
CAMEL,KAMEEL,10,drawing,Animate ,1,5,2,2,5,3,2,1,3,1,4,4,5,2,1,3,1,5,2.78,-0.030337583675390956,0.00078520400867498
TO-PUMP,OPPOMPEN,19,acting,Action with object,6,6,6,3,6,6,5,4,4,6,6,7,6,4,5,6,5,5,5.33,0.031245551175358578,-0.01089642885322421
TO-CRY,HUILEN,13,acting,Action without object,7,7,6,6,7,6,7,5,7,7,7,7,7,6,7,7,7,5,6.56,0.04235115921783042,0.016009923960591102
BIRD,VOGEL,16,personification,Animate ,6,5,4,6,7,6,7,7,6,5,5,7,7,6,6,5,4,6,5.83,0.03485708797117626,-0.013157675705655368
BOTTLE,FLES,10,drawing,Manipulable object,2,2,1,2,1,1,6,1,3,2,4,4,2,1,1,3,1,2,2.17,-0.012695193991684369,0.005708252540373302
SPIDER,SPIN,14,representing,Animate ,1,2,2,2,2,1,4,1,2,2,4,4,2,2,1,2,3,2,2.17,-0.023761391881615218,0.025148680856958743
LAPTOP,LAPTOP,19,acting,Manipulable object,3,6,4,3,3,4,2,4,3,3,4,4,3,5,3,6,5,4,3.83,-0.028225617711305495,0.0094923453700858
BEER,BIER,20,acting,Non-manipulable object,2,6,4,2,4,3,1,2,3,1,2,4,3,3,2,3,1,3,2.72,0.024079706007695937,-0.025608750523492957
TO-KNOW,WETEN,14,acting,Action without object,7,7,5,5,5,6,5,6,5,7,5,5,7,4,6,6,5,5,5.61,0.013458387361009337,0.06733352316363352
TO-SKI,SKI?N,18,acting,Action without object,4,4,4,3,4,2,3,5,2,4,3,5,4,2,1,2,2,3,3.17,-0.03519561960097195,0.00636620190741047
MOTORBIKE,BROMMER,17,acting,Non-manipulable object,3,4,2,3,6,5,5,6,3,3,4,2,7,5,2,4,3,3,3.89,-0.046953966740336105,0.023842577559752002
TEA,THEE,12,acting,Non-manipulable object,2,3,3,3,3,4,2,5,3,4,6,4,7,4,2,4,2,4,3.61,-0.06677428245237678,-0.019339205913915535
VIOLIN,VIOOL,20,acting,Manipulable object,4,3,6,6,7,6,6,7,7,6,7,6,7,7,6,6,5,6,6.0,-0.03952063284078532,0.029644110669654403
TOOTHBRUSH,TANDENBORSTEL,20,acting,Manipulable object,7,5,6,6,6,6,6,7,6,6,5,5,7,6,6,7,5,5,5.94,-0.015144378301197338,-0.06657842123938301
WHEELCHAIR,ROLSTOEL,17,acting,Manipulable object,4,1,7,4,6,4,6,6,5,5,5,7,5,3,1,6,3,4,4.56,-0.05120734341025996,-0.006463570929389707
BABY,BABY,14,acting,Animate ,5,6,7,5,6,6,6,7,6,4,6,6,7,6,5,6,5,5,5.78,-0.01294837696701227,-0.030438922968585747
