time,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,env,Z_RIGHT_INDEXlowpass10,Z_RIGHT_INDEXlowpass30,Z_RIGHT_INDEXguassianfilt,speed,vertical_velocity,acceleration,jerk,gesture_type,gesture_ID
62910.0,-0.1099782106702117,-0.07682442588866961,-0.20279910087762298,0.01636412,-0.20248643698239957,-0.20273845235372123,-0.20256253116306056,-0.010940771458659897,0.13745682206058218,0.6022922282420835,0.16439182403387437,REP,GID_17
62920.0,-0.10726222910854061,-0.0758807687060071,-0.20111013128104108,0.01981875,-0.20109212876944177,-0.20113154047262566,-0.20108557297524518,0.07501221031740346,0.2482996683496652,0.33755619742854137,-0.4409166227595486,REP,GID_17
62930.0,-0.10481612067377302,-0.07472900798420826,-0.19932231736384015,0.02327569,-0.19968256859253253,-0.19946441267224424,-0.19962564722277293,0.04780824206529434,0.2980921131686997,-0.1198256939062318,-0.7780625143289385,REP,GID_17
62940.0,-0.10317954817311127,-0.07370300331210129,-0.1975624172120644,0.02658953,-0.19839211624684283,-0.1975082281779201,-0.1983561325746166,-0.08980091834681819,0.2790043296255474,-0.5304294088384686,-0.6912806581941153,REP,GID_17
62950.0,-0.10255128527256313,-0.07294986819958296,-0.19617859108300384,0.02960975,-0.19746900689314045,-0.19644876104005843,-0.19745673633832317,-0.2740647824844425,0.22664790776144728,-0.6809146803929087,-0.26382244429290624,REP,GID_17
62960.0,-0.10261345796651977,-0.0723218132085673,-0.1956199231690209,0.03218489,-0.19702268188786815,-0.19547740748637202,-0.19706433098438064,-0.40715330198464267,0.18519908523666603,-0.5160239015523683,0.23285474076956827,REP,GID_17
62970.0,-0.10288928911983948,-0.0716591081261851,-0.1961706588854742,0.03419552,-0.19722766871190406,-0.19591051218663524,-0.197207637725252,-0.43549685230622737,0.1708640365403899,-0.1851774407605222,0.5190150538728696,REP,GID_17
62980.0,-0.10314592067529033,-0.0709877576825101,-0.19738029085268124,0.03557681,-0.19796031996757119,-0.19803419200456546,-0.19779070538763713,-0.3952662216133838,0.18028193565614054,0.09302589155936608,0.5037031420020034,REP,GID_17
62990.0,-0.1032855004446955,-0.07026330021700478,-0.19852397418111886,0.03632945,-0.19875808441980292,-0.19836360897772404,-0.19865577413935717,-0.3463169336484545,0.21806808543675033,0.22545087371270747,0.3128894505314002,REP,GID_17
63000.0,-0.10313200645360726,-0.06925374013673956,-0.1995801874713422,0.03651922,-0.19970543548762484,-0.19935085262283697,-0.19966698336122413,-0.2961317673380932,0.28928384089692905,0.266609180607216,0.11881624716399795,REP,GID_17
63010.0,-0.10253185989657987,-0.06786658160292393,-0.20072044799308733,0.03627025,-0.2007792906752261,-0.2010721461826912,-0.2007380819828189,-0.23012433066531496,0.3717881618323318,0.2707227227940857,-0.02532287617285287,REP,GID_17
