English,Dutch,No._participants,Mode_of_rep,Semantical_category,pp01,pp02,pp03,pp04,pp05,pp06,pp07,pp08,pp09,pp10,pp11,pp12,pp13,pp14,pp15,pp16,pp17,pp18,MEAN,x,y
BOTTLE,FLES,10,drawing,Manipulable object,2,2,1,2,1,1,6,1,3,2,4,4,2,1,1,3,1,2,2.17,0.014307941376514371,-0.0016005850928956828
SPIDER,SPIN,14,representing,Animate ,1,2,2,2,2,1,4,1,2,2,4,4,2,2,1,2,3,2,2.17,0.032649005046966856,0.010030743628327541
LAPTOP,LAPTOP,19,acting,Manipulable object,3,6,4,3,3,4,2,4,3,3,4,4,3,5,3,6,5,4,3.83,0.03038459526193034,0.006013926775355477
BEER,BIER,20,acting,Non-manipulable object,2,6,4,2,4,3,1,2,3,1,2,4,3,3,2,3,1,3,2.72,-0.01870698044375972,-0.031087766602803588
TO-KNOW,WETEN,14,acting,Action without object,7,7,5,5,5,6,5,6,5,7,5,5,7,4,6,6,5,5,5.61,0.008820679681057056,-0.06588658836797541
TO-SKI,SKI?N,18,acting,Action without object,4,4,4,3,4,2,3,5,2,4,3,5,4,2,1,2,2,3,3.17,0.029863516319449262,0.015069522972090939
MOTORBIKE,BROMMER,17,acting,Non-manipulable object,3,4,2,3,6,5,5,6,3,3,4,2,7,5,2,4,3,3,3.89,0.042400095572840205,0.0317528746177124
TEA,THEE,12,acting,Non-manipulable object,2,3,3,3,3,4,2,5,3,4,6,4,7,4,2,4,2,4,3.61,0.06242471075943782,-0.02555893960094692
VIOLIN,VIOOL,20,acting,Manipulable object,4,3,6,6,7,6,6,7,7,6,7,6,7,7,6,6,5,6,6.0,0.03463831336119646,0.0371292709847055
TOOTHBRUSH,TANDENBORSTEL,20,acting,Manipulable object,7,5,6,6,6,6,6,7,6,6,5,5,7,6,6,7,5,5,5.94,0.022870093210167947,-0.062357448611802965
WHEELCHAIR,ROLSTOEL,17,acting,Manipulable object,4,1,7,4,6,4,6,6,5,5,5,7,5,3,1,6,3,4,4.56,0.0509986766558315,-0.0013776405082313022
BABY,BABY,14,acting,Animate ,5,6,7,5,6,6,6,7,6,4,6,6,7,6,5,6,5,5,5.78,-0.002788585691446049,0.03217141713105622
